Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

285/1000: r = 0.70, accuracy = 86.67%
286/1000: r = 0.69, accuracy = 84.76%
287/1000: r = 0.69, accuracy = 88.57%
288/1000: r = 0.70, accuracy = 88.57%
289/1000: r = 0.69, accuracy = 88.57%
290/1000: r = 0.79, accuracy = 88.57%
291/1000: r = 0.70, accuracy = 89.52%
292/1000: r = 0.80, accuracy = 89.52%
293/1000: r = 0.73, accuracy = 89.52%
294/1000: r = 0.72, accuracy = 89.52%
295/1000: r = 0.74, accuracy = 89.52%
296/1000: r = 0.72, accuracy = 87.62%
297/1000: r = 0.73, accuracy = 87.62%
298/1000: r = 0.67, accuracy = 87.62%
299/1000: r = 0.73, accuracy = 87.62%
300/1000: r = 0.73, accuracy = 86.67%
301/1000: r = 0.72, accuracy = 86.67%
302/1000: r = 0.66, accuracy = 86.67%
303/1000: r = 0.69, accuracy = 85.71%
304/1000: r = 0.69, accuracy = 85.71%
305/1000: r = 0.67, accuracy = 86.67%
306/1000: r = 0.70, accuracy = 84.76%
307/1000: r = 0.75, accuracy = 85.71%
308/1000: r = 0.73, accuracy = 85.71%
309/1000: r = 0.70, accuracy = 85.71%
310/1000: r = 0.64, accuracy = 84.76%
311/1000: r = 0.76, accuracy = 85.71%
312/1000: r = 0.63, accuracy = 85.71%
313/1000: r = 0.69, accuracy = 85.71%
314/1000: r = 0.75, accuracy = 85.71%
315/1000: r = 0.66, accuracy = 85.71%
316/1000: r = 0.74, accuracy = 85.71%
317/1000: r = 0.66, accuracy = 84.76%
318/1000: r = 0.68, accuracy = 84.76%
319/1000: r = 0.74, accuracy = 86.67%
320/1000: r = 0.76, accuracy = 86.67%
321/1000: r = 0.71, accuracy = 86.67%
322/1000: r = 0.74, accuracy = 87.62%
323/1000: r = 0.74, accuracy = 87.62%
324/1000: r = 0.76, accuracy = 87.62%
325/1000: r = 0.71, accuracy = 87.62%
326/1000: r = 0.69, accuracy = 86.67%
327/1000: r = 0.69, accuracy = 84.76%
328/1000: r = 0.70, accuracy = 85.71%
329/1000: r = 0.75, accuracy = 85.71%
330/1000: r = 0.74, accuracy = 85.71%
331/1000: r = 0.81, accuracy = 88.57%
332/1000: r = 0.74, accuracy = 88.57%
333/1000: r = 0.74, accuracy = 88.57%
334/1000: r = 0.77, accuracy = 88.57%
335/1000: r = 0.72, accuracy = 88.57%
336/1000: r = 0.73, accuracy = 88.57%
337/1000: r = 0.69, accuracy = 88.57%
338/1000: r = 0.70, accuracy = 88.57%
339/1000: r = 0.66, accuracy = 85.71%
340/1000: r = 0.77, accuracy = 86.67%
341/1000: r = 0.68, accuracy = 87.62%
342/1000: r = 0.78, accuracy = 87.62%
343/1000: r = 0.71, accuracy = 87.62%
344/1000: r = 0.71, accuracy = 87.62%
345/1000: r = 0.73, accuracy = 87.62%
346/1000: r = 0.72, accuracy = 87.62%
347/1000: r = 0.72, accuracy = 86.67%
348/1000: r = 0.66, accuracy = 86.67%
349/1000: r = 0.72, accuracy = 86.67%
350/1000: r = 0.72, accuracy = 85.71%
351/1000: r = 0.71, accuracy = 85.71%
352/1000: r = 0.66, accuracy = 86.67%
353/1000: r = 0.69, accuracy = 85.71%
354/1000: r = 0.69, accuracy = 85.71%
355/1000: r = 0.66, accuracy = 85.71%
356/1000: r = 0.74, accuracy = 88.57%
357/1000: r = 0.78, accuracy = 88.57%
358/1000: r = 0.75, accuracy = 88.57%
359/1000: r = 0.72, accuracy = 87.62%
360/1000: r = 0.67, accuracy = 87.62%
361/1000: r = 0.79, accuracy = 88.57%
362/1000: r = 0.66, accuracy = 88.57%
363/1000: r = 0.72, accuracy = 88.57%
364/1000: r = 0.78, accuracy = 88.57%
365/1000: r = 0.70, accuracy = 89.52%
366/1000: r = 0.78, accuracy = 89.52%
367/1000: r = 0.71, accuracy = 89.52%
368/1000: r = 0.73, accuracy = 89.52%
369/1000: r = 0.77, accuracy = 89.52%
370/1000: r = 0.76, accuracy = 86.67%
371/1000: r = 0.71, accuracy = 86.67%
372/1000: r = 0.73, accuracy = 86.67%
373/1000: r = 0.73, accuracy = 86.67%
374/1000: r = 0.75, accuracy = 86.67%
375/1000: r = 0.72, accuracy = 88.57%
376/1000: r = 0.72, accuracy = 89.52%
377/1000: r = 0.75, accuracy = 91.43%
378/1000: r = 0.75, accuracy = 91.43%
379/1000: r = 0.80, accuracy = 90.48%
380/1000: r = 0.79, accuracy = 90.48%
381/1000: r = 0.82, accuracy = 89.52%
382/1000: r = 0.75, accuracy = 89.52%
383/1000: r = 0.75, accuracy = 89.52%
384/1000: r = 0.77, accuracy = 88.57%
385/1000: r = 0.72, accuracy = 88.57%
386/1000: r = 0.75, accuracy = 90.48%
387/1000: r = 0.66, accuracy = 85.71%
388/1000: r = 0.67, accuracy = 85.71%
389/1000: r = 0.66, accuracy = 85.71%
390/1000: r = 0.76, accuracy = 85.71%
391/1000: r = 0.66, accuracy = 85.71%
392/1000: r = 0.76, accuracy = 85.71%
393/1000: r = 0.70, accuracy = 86.67%
394/1000: r = 0.70, accuracy = 86.67%
395/1000: r = 0.72, accuracy = 86.67%
396/1000: r = 0.71, accuracy = 86.67%
397/1000: r = 0.72, accuracy = 86.67%
398/1000: r = 0.66, accuracy = 86.67%
399/1000: r = 0.71, accuracy = 85.71%
400/1000: r = 0.72, accuracy = 85.71%
401/1000: r = 0.71, accuracy = 85.71%
402/1000: r = 0.65, accuracy = 85.71%
403/1000: r = 0.70, accuracy = 86.67%
404/1000: r = 0.70, accuracy = 86.67%
405/1000: r = 0.67, accuracy = 86.67%
406/1000: r = 0.72, accuracy = 86.67%
407/1000: r = 0.76, accuracy = 86.67%
408/1000: r = 0.73, accuracy = 86.67%
409/1000: r = 0.71, accuracy = 86.67%
410/1000: r = 0.67, accuracy = 87.62%
411/1000: r = 0.78, accuracy = 87.62%
412/1000: r = 0.64, accuracy = 86.67%
413/1000: r = 0.70, accuracy = 86.67%
414/1000: r = 0.76, accuracy = 86.67%
415/1000: r = 0.69, accuracy = 88.57%
416/1000: r = 0.77, accuracy = 88.57%
417/1000: r = 0.70, accuracy = 88.57%
418/1000: r = 0.70, accuracy = 86.67%
419/1000: r = 0.74, accuracy = 86.67%
420/1000: r = 0.76, accuracy = 86.67%
421/1000: r = 0.72, accuracy = 87.62%
422/1000: r = 0.73, accuracy = 86.67%
423/1000: r = 0.75, accuracy = 88.57%
424/1000: r = 0.77, accuracy = 88.57%
425/1000: r = 0.72, accuracy = 88.57%
426/1000: r = 0.71, accuracy = 88.57%
427/1000: r = 0.72, accuracy = 87.62%
428/1000: r = 0.71, accuracy = 87.62%
